0, 1610.0, 1441
1, 560.0, 996
2, 910.0, 1948
3, 680.0, 1730
4, 280.0, 1071
5, 2110.0, 1423
6, 3140.0, 2295
7, 400.0, 1451
8, 1850.0, 3227
9, 2980.0, 1276
10, 280.0, 1273
11, 140.0, 1260
12, 1210.0, 1135
13, 500.0, 1660
14, 1290.0, 1463
15, 140.0, 1315
16, 560.0, 2560
17, 2780.0, 1358
18, 2600.0, 1143
19, 1130.0, 1382
20, 2150.0, 1321
21, 1590.0, 1510
22, 720.0, 1022
23, 400.0, 982
24, 2000.0, 1105
25, 1530.0, 3426
26, 2270.0, 1645
27, 480.0, 1103
28, 1520.0, 4999
29, 1690.0, 1653
30, 1390.0, 1445
31, 1980.0, 1585
32, 1410.0, 2111
33, 540.0, 1839
34, 3710.0, 1704
35, 360.0, 1342
36, 3960.0, 1551
37, 2330.0, 4114
38, 1290.0, 1252
39, 820.0, 1676
40, 440.0, 1057
41, 2150.0, 1616
42, 2430.0, 1058
43, 2550.0, 2134
44, 1880.0, 2317
45, 560.0, 2162
46, 2740.0, 2116
47, 2590.0, 3242
48, 1300.0, 1910
49, 3170.0, 1467
50, 320.0, 1037
51, 4070.0, 1318
52, 2860.0, 3699
53, 200.0, 725
54, 1940.0, 1841
55, 2250.0, 3806
56, 1880.0, 1333
57, 480.0, 4999
58, 2320.0, 1853
59, 2570.0, 4827
60, 200.0, 1003
61, 200.0, 848
62, 1530.0, 2714
63, 540.0, 1431
64, 2370.0, 1047
65, 4640.0, 1810
66, 3630.0, 1473
67, 1690.0, 1574
68, 1570.0, 1866
69, 1340.0, 1299
70, 1590.0, 1196
71, 2440.0, 1415
72, 280.0, 1434
73, 1710.0, 1777
74, 2560.0, 4407
75, 1190.0, 1621
76, 3720.0, 2749
77, 2880.0, 1444
78, 540.0, 1232
79, 1400.0, 1364
80, 540.0, 1600
81, 1760.0, 1741
82, 200.0, 834
83, 1520.0, 1081
84, 4540.0, 1825
85, 1330.0, 859
86, 2870.0, 1052
87, 1430.0, 2977
88, 1490.0, 2115
89, 1340.0, 1939
90, 4250.0, 1605
91, 2210.0, 1650
92, 600.0, 2815
93, 580.0, 1283
94, 1430.0, 3315
95, 600.0, 950
96, 440.0, 996
97, 3380.0, 2346
98, 3320.0, 1393
99, 1790.0, 1621
